Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Slaves died during middle passage
47545,NS do Socorro e Bom Jesus da Vilanova,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1754,,
47548,Vasco da Gama,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1797,,
47549,Lépos,"Bahia, port unspecified",Whydah,"Bahia, port unspecified",1799,,
47550,NS da Conceição S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1691,,
47551,Santíssimo Sacramento e NS da Conceição,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1690,,
47552,Santíssimo Sacramento e Almas,Rio de Janeiro,Luanda,Rio de Janeiro,1701,,
47553,NS da Penha da França,Rio de Janeiro,Luanda,Rio de Janeiro,1699,,31
47554,,Rio de Janeiro,Luanda,Rio de Janeiro,1699,,
47555,,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1700,,
47556,S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1698,,
47557,Taquiriçá,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1699,,
47558,NS de Roque Amador,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1700,,
47559,Taquiriçá,"Pernambuco, port unspecified",Luanda,Paraiba,1698,,
47560,,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1699,,
47561,,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1699,,
47562,NS do Bonsucesso,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1700,,
47563,NS do Carmo e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1700,,
47564,NS da Vitória S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1702,,
47565,NS da Ajuda e Conceição,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1706,,
47566,S João Almas e NS do Pilar,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1706,,
47567,Farto,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1701,,
47568,NS do Rosario S Antônio,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1701,,
47569,NS das Brotas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1707,,
47571,NS da Oliveira e Almas,"Bahia, port unspecified",Whydah,"Bahia, port unspecified",1720,,
47572,NS Mãe de Deus e S José,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1720,,
47573,,Rio de Janeiro,Costa da Mina,Rio de Janeiro,1722,,
47574,,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1723,,
47575,,"Bahia, port unspecified",Jacquin,"Bahia, port unspecified",1726,,
47576,NS da Boa Morte e S,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1726,,
47577,S Francisco e NS de Bonsucesso,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1726,,
47578,NS da Boa Morte e S Caetano (a) S Antonio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1728,,
47579,NS da Oliveira S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1729,,
47580,NS da Piedade Chagas S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1729,,
47581,NS de Nazaré S Antônio e Almas,"Bahia, port unspecified",Elmina,"Bahia, port unspecified",1731,,
47582,NS do Livramento S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1730,,
47583,NS das Sete Chagas S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1731,,
47584,NS de Nazaré e S Antônio das Barreiras,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1732,,
47585,,"Southeast Brazil, port unspecified",Costa da Mina,Rio de Janeiro,1733,229,
47587,,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1738,,
47588,,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1740,,
47589,Jesus Maria José e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1740,,
47590,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1747,,
47591,,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1747,,
47592,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1748,,
47593,NS de Guadalupe Santana S Antônio e Almas,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1748,,
47594,NS do Socorro S Antônio e Almas,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1748,,
47595,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1749,,
47596,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1750,,
47597,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1750,,
47598,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1750,,
47599,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1750,,
47600,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1750,,
47601,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1750,,
47602,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1753,,
47603,,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1751,,
47604,,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1751,,
47606,Sr do Bonfim S Pedro e S Antônio,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1752,,
47607,,"Bahia, port unspecified",Benguela,Rio de Janeiro,1753,,
